datetime,open,high,low,close,volume
2026-02-13 10:30:00,1.36237,1.36243,1.36202,1.36202,0
2026-02-13 10:45:00,1.36201,1.36203,1.3615,1.36179,0
2026-02-13 11:00:00,1.36185,1.36194,1.36094,1.36133,0
2026-02-13 11:15:00,1.36133,1.3614,1.36078,1.36091,0
2026-02-13 11:30:00,1.36091,1.36114,1.3606,1.36081,0
2026-02-13 11:45:00,1.3608,1.36095,1.36012,1.36029,0
2026-02-13 12:00:00,1.36031,1.36048,1.3599,1.36012,0
2026-02-13 12:15:00,1.36012,1.3608,1.36011,1.36049,0
2026-02-13 12:30:00,1.36049,1.36093,1.36041,1.36046,0
2026-02-13 12:45:00,1.36046,1.36092,1.36016,1.36073,0
2026-02-13 13:00:00,1.36074,1.36128,1.36056,1.36071,0
2026-02-13 13:15:00,1.36071,1.36148,1.36052,1.36123,0
2026-02-13 13:30:00,1.36124,1.36445,1.36115,1.36178,0
2026-02-13 13:45:00,1.36179,1.36389,1.36134,1.36344,0
2026-02-13 14:00:00,1.36335,1.36382,1.36289,1.36331,0
2026-02-13 14:15:00,1.36325,1.36362,1.36285,1.36333,0
2026-02-13 14:30:00,1.3634,1.36393,1.36155,1.3627,0
2026-02-13 14:45:00,1.36271,1.36351,1.36197,1.36261,0
2026-02-13 15:00:00,1.36262,1.36473,1.36242,1.36449,0
2026-02-13 15:15:00,1.36443,1.36443,1.36268,1.36341,0
2026-02-13 15:30:00,1.36342,1.36352,1.36245,1.36258,0
2026-02-13 15:45:00,1.3626,1.36266,1.36109,1.36129,0
2026-02-13 16:00:00,1.36128,1.36178,1.3607,1.36178,0
2026-02-13 16:15:00,1.36179,1.36328,1.36154,1.36292,0
2026-02-13 16:30:00,1.36292,1.36394,1.36282,1.36391,0
2026-02-13 16:45:00,1.36391,1.36439,1.36339,1.36422,0
2026-02-13 17:00:00,1.36422,1.36541,1.36383,1.36534,0
2026-02-13 17:15:00,1.36535,1.36551,1.36417,1.36448,0
2026-02-13 17:30:00,1.36449,1.36521,1.36412,1.365,0
2026-02-13 17:45:00,1.365,1.36594,1.36478,1.36484,0
2026-02-13 18:00:00,1.36486,1.36512,1.36475,1.365,0
2026-02-13 18:15:00,1.36499,1.3652,1.36464,1.36495,0
2026-02-13 18:30:00,1.36496,1.36534,1.36482,1.36533,0
2026-02-13 18:45:00,1.36533,1.36543,1.36465,1.36522,0
2026-02-13 19:00:00,1.36522,1.36555,1.36492,1.36508,0
2026-02-13 19:15:00,1.36509,1.36542,1.36491,1.36502,0
2026-02-13 19:30:00,1.36502,1.36512,1.36448,1.36462,0
2026-02-13 19:45:00,1.36462,1.36479,1.36431,1.36434,0
2026-02-13 20:00:00,1.36434,1.36465,1.36416,1.36442,0
2026-02-13 20:15:00,1.36441,1.3646,1.36423,1.36425,0
2026-02-13 20:30:00,1.36425,1.36464,1.36422,1.36461,0
2026-02-13 20:45:00,1.36461,1.36539,1.36445,1.36537,0
2026-02-16 00:00:00,1.36473,1.36483,1.3645,1.36456,0
2026-02-16 00:15:00,1.36456,1.36478,1.36441,1.36441,0
2026-02-16 00:30:00,1.36441,1.36457,1.36425,1.36454,0
2026-02-16 00:45:00,1.36454,1.36464,1.36409,1.3641,0
2026-02-16 01:00:00,1.3641,1.36424,1.36372,1.36411,0
2026-02-16 01:15:00,1.36412,1.36429,1.3638,1.36425,0
2026-02-16 01:30:00,1.36425,1.36437,1.36409,1.36426,0
2026-02-16 01:45:00,1.36426,1.36442,1.36402,1.36436,0
2026-02-16 02:00:00,1.36436,1.36457,1.36391,1.36406,0
2026-02-16 02:15:00,1.36406,1.36438,1.36391,1.36425,0
2026-02-16 02:30:00,1.36425,1.36444,1.36409,1.36421,0
2026-02-16 02:45:00,1.36421,1.36443,1.36409,1.36422,0
2026-02-16 03:00:00,1.36422,1.36422,1.36378,1.36412,0
2026-02-16 03:15:00,1.36412,1.36452,1.36412,1.36429,0
2026-02-16 03:30:00,1.3643,1.3643,1.364,1.36419,0
2026-02-16 03:45:00,1.36419,1.36421,1.36391,1.36414,0
2026-02-16 04:00:00,1.36418,1.36436,1.36409,1.36419,0
2026-02-16 04:15:00,1.36419,1.3643,1.36387,1.36418,0
2026-02-16 04:30:00,1.36415,1.3642,1.36359,1.36361,0
2026-02-16 04:45:00,1.36361,1.36399,1.36361,1.36397,0
2026-02-16 05:00:00,1.36396,1.36403,1.36373,1.36375,0
2026-02-16 05:15:00,1.36375,1.36388,1.36362,1.36388,0
2026-02-16 05:30:00,1.36388,1.36389,1.36356,1.36368,0
2026-02-16 05:45:00,1.36368,1.36409,1.3636,1.36391,0
2026-02-16 06:00:00,1.36392,1.3643,1.36383,1.36428,0
2026-02-16 06:15:00,1.36428,1.36438,1.3641,1.36426,0
2026-02-16 06:30:00,1.36426,1.36482,1.36419,1.36482,0
2026-02-16 06:45:00,1.36482,1.36488,1.36424,1.3643,0
2026-02-16 07:00:00,1.36431,1.36433,1.36396,1.36419,0
2026-02-16 07:15:00,1.36419,1.36443,1.36399,1.36439,0
2026-02-16 07:30:00,1.36439,1.36513,1.36358,1.36491,0
2026-02-16 07:45:00,1.3649,1.3649,1.36393,1.36441,0
2026-02-16 08:00:00,1.36441,1.36603,1.36422,1.3647,0
2026-02-16 08:15:00,1.36471,1.36531,1.364,1.36462,0
2026-02-16 08:30:00,1.36461,1.36539,1.36431,1.36536,0
2026-02-16 08:45:00,1.36536,1.36563,1.3652,1.3652,0
2026-02-16 09:00:00,1.3652,1.3662,1.36513,1.3658,0
2026-02-16 09:15:00,1.3658,1.36594,1.36558,1.3657,0
2026-02-16 09:30:00,1.3657,1.36571,1.36489,1.36506,0
2026-02-16 09:45:00,1.36506,1.36512,1.36412,1.36451,0
2026-02-16 10:00:00,1.36449,1.36479,1.36411,1.36479,0
2026-02-16 10:15:00,1.36479,1.36499,1.36448,1.36469,0
2026-02-16 10:30:00,1.36469,1.36497,1.36458,1.36487,0
2026-02-16 10:45:00,1.36488,1.3651,1.3647,1.36508,0
2026-02-16 11:00:00,1.36507,1.36507,1.36449,1.36474,0
2026-02-16 11:15:00,1.36474,1.36482,1.36442,1.36473,0
2026-02-16 11:30:00,1.36473,1.36494,1.36449,1.3647,0
2026-02-16 11:45:00,1.3647,1.3649,1.36432,1.36445,0
2026-02-16 12:00:00,1.36445,1.36514,1.36442,1.36499,0
2026-02-16 12:15:00,1.36499,1.36499,1.36449,1.36483,0
2026-02-16 12:30:00,1.36483,1.36483,1.36438,1.36438,0
2026-02-16 12:45:00,1.36438,1.36443,1.36397,1.36426,0
2026-02-16 13:00:00,1.36426,1.36476,1.36329,1.3633,0
2026-02-16 13:15:00,1.36331,1.36334,1.36307,1.36309,0
